device_id,device_type,operating_system,browser,mac_address,device_fingerprint
D0250,Workstation,Windows 11,Firefox,ca:b9:64:2f:a7:ce,Windows 11_Firefox_ca6e62e3
D0251,Workstation,Windows 10,Chrome,5a:f4:79:ae:0e:d8,Windows 10_Chrome_2d2535e8
D0252,Laptop,Windows 11,Brave,5b:09:0f:b9:04:b9,Windows 11_Brave_9011e146
D0253,Desktop,Ubuntu 22.04,Edge,a3:8e:12:73:ef:1e,Ubuntu 22.04_Edge_bb4505fb
D0254,Workstation,Ubuntu 22.04,Brave,44:2e:81:fb:fe:45,Ubuntu 22.04_Brave_ac0582e2
D0255,Desktop,Windows 10,Firefox,e8:6a:f9:e2:5c:14,Windows 10_Firefox_65e4a231
D0256,Laptop,macOS Sonoma,Chrome,00:5a:bd:cf:d4:6b,macOS Sonoma_Chrome_69324ca0
D0257,Desktop,Windows 10,Firefox,e7:00:bb:8e:67:d5,Windows 10_Firefox_7b0f1c86
D0258,Workstation,Windows 10,Brave,a8:95:a6:3c:53:92,Windows 10_Brave_dcf22c96
D0259,Desktop,Windows 11,Brave,59:4d:f4:0d:b5:fc,Windows 11_Brave_5bbe4240
D0260,Workstation,macOS Sonoma,Firefox,48:4c:43:80:af:90,macOS Sonoma_Firefox_a5b6ec98
D0261,Laptop,Windows 11,Brave,ac:6d:fa:07:d4:b7,Windows 11_Brave_9bfc6534
D0262,Workstation,Windows 10,Brave,ed:f5:13:e4:d0:f6,Windows 10_Brave_5edb44b6
D0263,Desktop,Windows 11,Brave,7c:63:28:72:61:0c,Windows 11_Brave_6dadb292
D0264,Workstation,Ubuntu 22.04,Firefox,9a:b1:33:4c:42:67,Ubuntu 22.04_Firefox_b80e37b4
D0265,Laptop,Ubuntu 22.04,Edge,09:2a:d3:aa:cc:f6,Ubuntu 22.04_Edge_9526a654
D0266,Laptop,Windows 10,Chrome,80:7e:cc:1c:b4:27,Windows 10_Chrome_52333eb3
D0267,Desktop,Windows 11,Edge,90:c5:5e:83:36:bc,Windows 11_Edge_e99c6ec9
D0268,Desktop,macOS Sonoma,Chrome,cb:48:e9:b9:b1:d9,macOS Sonoma_Chrome_2c6b9932
D0269,Desktop,macOS Sonoma,Brave,b9:81:5d:7b:32:6c,macOS Sonoma_Brave_d1432dae
D0270,Desktop,Ubuntu 22.04,Firefox,68:ec:7f:bb:63:7c,Ubuntu 22.04_Firefox_03df235c
D0271,Laptop,Windows 10,Firefox,6e:d8:5a:c9:3a:f0,Windows 10_Firefox_622fb0a6
D0272,Laptop,Ubuntu 22.04,Edge,c3:77:9d:87:51:9a,Ubuntu 22.04_Edge_52da60a5
D0273,Workstation,Windows 11,Chrome,4f:54:bd:54:fe:17,Windows 11_Chrome_f74dbce2
D0274,Workstation,Windows 10,Edge,9a:58:9c:d3:4b:a6,Windows 10_Edge_ef235cbf
D0275,Laptop,Ubuntu 22.04,Edge,5c:4c:9f:fa:34:a1,Ubuntu 22.04_Edge_665beabf
D0276,Desktop,Ubuntu 22.04,Firefox,08:20:64:f4:9e:82,Ubuntu 22.04_Firefox_695f8e6a
D0277,Workstation,Windows 10,Brave,4b:7a:83:8d:76:a8,Windows 10_Brave_95d21453
D0278,Desktop,Windows 10,Firefox,10:a4:93:b7:49:27,Windows 10_Firefox_e027fe0e
D0279,Desktop,Windows 10,Firefox,0d:a8:bb:5d:69:89,Windows 10_Firefox_606398f4
D0280,Laptop,Ubuntu 22.04,Firefox,37:74:44:55:cf:b0,Ubuntu 22.04_Firefox_b4a297fe
D0281,Laptop,macOS Sonoma,Brave,61:78:27:7d:c1:3c,macOS Sonoma_Brave_d8a3f895
D0282,Laptop,Ubuntu 22.04,Brave,dd:6f:b8:25:95:aa,Ubuntu 22.04_Brave_345b097e
D0283,Desktop,Ubuntu 22.04,Edge,02:01:5d:59:da:c8,Ubuntu 22.04_Edge_222fd690
D0284,Desktop,Ubuntu 22.04,Firefox,3a:5d:fc:cd:cc:13,Ubuntu 22.04_Firefox_58a2115b
D0285,Desktop,Ubuntu 22.04,Firefox,ee:08:d6:97:30:a0,Ubuntu 22.04_Firefox_1cbe7bd2
D0286,Workstation,macOS Sonoma,Chrome,68:ef:24:04:3f:db,macOS Sonoma_Chrome_6123cad5
D0287,Workstation,Windows 11,Edge,29:97:dc:e5:31:f3,Windows 11_Edge_029dc01b
D0288,Desktop,Windows 10,Chrome,8e:e4:9a:72:8f:93,Windows 10_Chrome_44f83529
D0289,Workstation,macOS Sonoma,Chrome,a7:c6:22:46:b5:30,macOS Sonoma_Chrome_4f426ebe
D0290,Laptop,Windows 10,Brave,dd:4e:09:10:f9:d5,Windows 10_Brave_c250b556
D0291,Workstation,Windows 11,Firefox,14:0a:cc:5f:43:20,Windows 11_Firefox_10a2ee67
D0292,Workstation,Windows 11,Firefox,45:97:07:55:d6:d2,Windows 11_Firefox_50950e4d
D0293,Laptop,Windows 10,Firefox,d8:ff:d1:d2:39:6d,Windows 10_Firefox_e4b2c1f1
D0294,Desktop,Windows 11,Firefox,8a:31:8d:64:03:3f,Windows 11_Firefox_a89884bb
D0295,Desktop,Windows 10,Brave,d3:a6:b0:7a:f0:0e,Windows 10_Brave_1658498a
D0296,Laptop,macOS Sonoma,Chrome,07:0f:38:3a:30:aa,macOS Sonoma_Chrome_d88f2f35
D0297,Desktop,Ubuntu 22.04,Brave,57:2e:17:d9:62:97,Ubuntu 22.04_Brave_5b36ab3b
D0298,Laptop,macOS Sonoma,Brave,eb:63:03:50:e5:d2,macOS Sonoma_Brave_e49746da
D0299,Desktop,Ubuntu 22.04,Chrome,17:85:e0:68:e6:74,Ubuntu 22.04_Chrome_55d236b1
D0300,Desktop,Windows 11,Brave,d5:94:52:06:19:2f,Windows 11_Brave_6bd4940f
D0301,Desktop,Ubuntu 22.04,Firefox,7e:0f:dd:40:73:45,Ubuntu 22.04_Firefox_a47adf77
D0302,Desktop,Windows 10,Brave,f9:5f:87:d8:2e:fc,Windows 10_Brave_85daf956
D0303,Workstation,Ubuntu 22.04,Chrome,cb:6c:ae:cd:c7:86,Ubuntu 22.04_Chrome_11e7f39e
D0304,Laptop,Ubuntu 22.04,Edge,c2:94:5b:90:d0:89,Ubuntu 22.04_Edge_749d7ccd
D0305,Desktop,macOS Sonoma,Firefox,fd:a8:80:ef:44:21,macOS Sonoma_Firefox_7b5b5c3c
D0306,Laptop,Ubuntu 22.04,Firefox,70:99:fd:ea:e0:d7,Ubuntu 22.04_Firefox_23c48d8b
D0307,Desktop,Windows 11,Firefox,eb:fc:f8:20:3d:3c,Windows 11_Firefox_3b20d643
D0308,Desktop,Windows 11,Edge,a5:c6:ae:f6:a5:55,Windows 11_Edge_7d374186
D0309,Desktop,macOS Sonoma,Chrome,6a:16:58:c7:db:10,macOS Sonoma_Chrome_34d9febb
D0310,Workstation,macOS Sonoma,Brave,61:27:a7:18:32:2c,macOS Sonoma_Brave_2431c38c
D0311,Desktop,Windows 10,Edge,c1:3f:c7:44:a9:9b,Windows 10_Edge_506795d7
D0312,Laptop,macOS Sonoma,Brave,ec:08:48:91:48:a1,macOS Sonoma_Brave_fb68e6b5
D0313,Laptop,Windows 11,Brave,b5:85:93:23:97:c1,Windows 11_Brave_5603b1c9
D0314,Workstation,macOS Sonoma,Edge,66:a2:d6:29:21:fd,macOS Sonoma_Edge_8bbce2ec
D0315,Laptop,macOS Sonoma,Firefox,9c:05:01:cb:90:bc,macOS Sonoma_Firefox_e8dfd950
D0316,Workstation,Ubuntu 22.04,Firefox,fc:bb:88:7e:7d:29,Ubuntu 22.04_Firefox_5ae79ae1
D0317,Desktop,Windows 10,Brave,22:6f:f7:8a:49:4a,Windows 10_Brave_12b60d93
D0318,Laptop,macOS Sonoma,Firefox,d5:5b:76:36:28:22,macOS Sonoma_Firefox_49e19248
D0319,Workstation,Windows 10,Chrome,a9:3f:f0:b9:29:9a,Windows 10_Chrome_552f993b
D0320,Workstation,Ubuntu 22.04,Firefox,96:f7:00:96:89:22,Ubuntu 22.04_Firefox_5cbe5d98
D0321,Workstation,Windows 11,Edge,bb:48:23:38:b3:38,Windows 11_Edge_10ff3dfd
D0322,Workstation,Ubuntu 22.04,Firefox,ce:cb:b0:ed:e5:d2,Ubuntu 22.04_Firefox_38d8c0e5
D0323,Desktop,macOS Sonoma,Edge,3a:8f:03:f2:9d:f3,macOS Sonoma_Edge_ac6f53e1
D0324,Desktop,Ubuntu 22.04,Chrome,95:58:a7:a0:6d:81,Ubuntu 22.04_Chrome_a5f755ae
D0325,Desktop,macOS Sonoma,Chrome,da:39:93:f9:76:19,macOS Sonoma_Chrome_565aa9a2
D0326,Laptop,Ubuntu 22.04,Brave,dc:b7:11:a8:8f:ee,Ubuntu 22.04_Brave_85183773
D0327,Workstation,Ubuntu 22.04,Chrome,1f:a7:fe:a0:ea:53,Ubuntu 22.04_Chrome_2b746f54
D0328,Laptop,Windows 10,Brave,0c:97:7a:30:29:ff,Windows 10_Brave_99c7e3ce
D0329,Desktop,Windows 11,Edge,ac:35:d0:2b:4d:39,Windows 11_Edge_1e5e6a38
D0330,Desktop,Windows 11,Chrome,ad:42:0d:b1:e0:d6,Windows 11_Chrome_2e910e9e
D0331,Workstation,macOS Sonoma,Firefox,67:d7:eb:44:1f:2a,macOS Sonoma_Firefox_678a3391
D0332,Laptop,Windows 11,Chrome,94:23:8d:1a:ad:80,Windows 11_Chrome_cf090dd1
D0333,Workstation,Ubuntu 22.04,Firefox,6f:f5:33:7b:f5:c6,Ubuntu 22.04_Firefox_6f40e4ad
D0334,Workstation,Windows 11,Firefox,7b:4b:b0:f2:87:63,Windows 11_Firefox_95635349
D0335,Laptop,Windows 11,Edge,62:b0:54:e5:6f:46,Windows 11_Edge_d042a509
D0336,Laptop,Windows 11,Chrome,eb:6a:c8:49:0f:bf,Windows 11_Chrome_830c73e3
D0337,Laptop,Ubuntu 22.04,Chrome,5e:8f:2a:94:4e:eb,Ubuntu 22.04_Chrome_e21347b8
D0338,Laptop,Windows 11,Firefox,f6:cc:f1:88:b4:9a,Windows 11_Firefox_1e1bb130
D0339,Laptop,Windows 10,Edge,bb:3f:de:ad:f0:1b,Windows 10_Edge_b4820f8d
D0340,Laptop,Windows 10,Edge,65:a8:58:1e:ea:96,Windows 10_Edge_87270d21
D0341,Laptop,Ubuntu 22.04,Brave,f5:71:53:d1:5e:25,Ubuntu 22.04_Brave_a08dc844
D0342,Workstation,Windows 11,Brave,5b:de:67:69:22:84,Windows 11_Brave_e59b9737
D0343,Laptop,macOS Sonoma,Chrome,c4:e9:43:e8:3c:25,macOS Sonoma_Chrome_0ed66cfc
D0344,Workstation,macOS Sonoma,Firefox,ad:9e:bf:cb:90:67,macOS Sonoma_Firefox_6c43ae0d
D0345,Workstation,Ubuntu 22.04,Chrome,3c:aa:e9:d1:15:dc,Ubuntu 22.04_Chrome_484501cd
D0346,Workstation,Windows 10,Brave,c1:c4:de:0a:b1:02,Windows 10_Brave_71237ff6
D0347,Workstation,Ubuntu 22.04,Brave,18:9f:16:db:fe:0c,Ubuntu 22.04_Brave_7ced9a4f
D0348,Laptop,macOS Sonoma,Firefox,19:dd:24:25:4c:d1,macOS Sonoma_Firefox_bbf89ea0
D0349,Desktop,Windows 10,Chrome,50:dc:6e:04:fe:05,Windows 10_Chrome_8812e1fa
D0350,Desktop,Windows 10,Chrome,9e:66:5c:b4:56:93,Windows 10_Chrome_e2cfa40c
D0351,Desktop,Windows 10,Chrome,64:57:94:f7:bf:50,Windows 10_Chrome_9d98a838
D0352,Workstation,Ubuntu 22.04,Firefox,34:70:8d:2c:2c:58,Ubuntu 22.04_Firefox_384425f5
D0353,Desktop,macOS Sonoma,Chrome,a9:12:21:4e:df:b8,macOS Sonoma_Chrome_3513ebf4
D0354,Workstation,Windows 10,Edge,fc:9c:60:ed:c1:39,Windows 10_Edge_d3f54a93
D0355,Desktop,Windows 11,Chrome,d8:78:ed:c5:9d:f3,Windows 11_Chrome_9d185e91
D0356,Desktop,Ubuntu 22.04,Brave,48:43:ec:0d:69:62,Ubuntu 22.04_Brave_262d66d8
D0357,Desktop,Windows 10,Chrome,91:83:55:93:9c:1c,Windows 10_Chrome_df7346b0
D0358,Laptop,Windows 10,Brave,05:e1:88:53:85:84,Windows 10_Brave_2959471b
D0359,Workstation,Windows 10,Edge,54:cb:88:d2:12:27,Windows 10_Edge_71256192
D0360,Workstation,Windows 10,Edge,90:8e:11:e0:0f:37,Windows 10_Edge_143ea861
D0361,Desktop,Ubuntu 22.04,Brave,9c:7a:88:88:f4:da,Ubuntu 22.04_Brave_cc8e71b6
D0362,Laptop,Ubuntu 22.04,Brave,ac:93:a1:e1:94:e8,Ubuntu 22.04_Brave_c83e2c3e
D0363,Desktop,macOS Sonoma,Chrome,d9:42:80:31:cb:10,macOS Sonoma_Chrome_5566b53a
D0364,Workstation,Windows 10,Chrome,a7:15:42:ab:c3:90,Windows 10_Chrome_6cb3c5bb
D0365,Workstation,Windows 11,Firefox,2c:65:f5:11:93:a0,Windows 11_Firefox_d6f8368a
D0366,Desktop,macOS Sonoma,Firefox,c2:09:3e:97:2a:9a,macOS Sonoma_Firefox_80caf57b
D0367,Workstation,Windows 10,Chrome,8a:7e:99:bd:3d:5d,Windows 10_Chrome_03b85444
D0368,Workstation,Windows 10,Brave,ea:e8:ee:25:1e:be,Windows 10_Brave_801fb8fd
D0369,Workstation,macOS Sonoma,Brave,e6:ec:1b:a2:90:91,macOS Sonoma_Brave_6fad54ed
D0370,Laptop,Windows 11,Chrome,cd:18:69:31:11:dd,Windows 11_Chrome_d7a9a2a4
D0371,Laptop,Windows 11,Brave,6a:0d:da:5d:f3:cc,Windows 11_Brave_dc77bde6
D0372,Laptop,Windows 10,Firefox,4a:8e:59:f8:bd:0d,Windows 10_Firefox_0dbc38d5
D0373,Laptop,Windows 10,Brave,61:3b:be:7b:18:7c,Windows 10_Brave_52eee82a
D0374,Laptop,Ubuntu 22.04,Chrome,9a:48:6f:2b:44:a4,Ubuntu 22.04_Chrome_8932337d
D0375,Laptop,macOS Sonoma,Firefox,fb:c4:73:58:02:8d,macOS Sonoma_Firefox_0f62afe4
D0376,Laptop,Windows 11,Firefox,4c:77:e0:e6:83:21,Windows 11_Firefox_dcfbc4d0
D0377,Workstation,macOS Sonoma,Firefox,14:c6:95:cd:c7:04,macOS Sonoma_Firefox_7e818db3
D0378,Workstation,Windows 10,Firefox,9b:4c:87:92:e7:89,Windows 10_Firefox_a5b1874a
D0379,Desktop,Ubuntu 22.04,Firefox,5c:73:a8:d9:32:79,Ubuntu 22.04_Firefox_df959813
D0380,Workstation,Windows 10,Chrome,41:b2:49:8a:0a:b1,Windows 10_Chrome_c6181c8c
D0381,Workstation,Windows 11,Chrome,52:ee:2e:c0:04:c4,Windows 11_Chrome_b4239871
D0382,Workstation,macOS Sonoma,Edge,e0:fd:62:de:56:be,macOS Sonoma_Edge_b3717095
D0383,Desktop,Windows 10,Chrome,82:37:70:ed:1f:b2,Windows 10_Chrome_a688a07b
D0384,Desktop,Windows 10,Brave,42:6e:42:c5:80:ef,Windows 10_Brave_6e49cc14
D0385,Desktop,macOS Sonoma,Chrome,da:79:1d:94:6a:4d,macOS Sonoma_Chrome_c5dddcf0
D0386,Workstation,Windows 11,Firefox,f3:a8:b8:32:65:9a,Windows 11_Firefox_21b7575a
D0387,Laptop,Ubuntu 22.04,Edge,2c:b0:f9:f9:53:36,Ubuntu 22.04_Edge_16cea406
D0388,Desktop,Windows 11,Firefox,92:bf:72:50:83:20,Windows 11_Firefox_b1885137
D0389,Desktop,Windows 10,Firefox,68:fa:02:aa:59:ea,Windows 10_Firefox_ab47b452
D0390,Workstation,Windows 10,Brave,e4:d2:e4:18:05:ca,Windows 10_Brave_d6439b11
D0391,Laptop,macOS Sonoma,Firefox,e6:f0:1d:f7:95:14,macOS Sonoma_Firefox_e72f8f74
D0392,Workstation,Windows 10,Firefox,83:98:6c:bf:93:30,Windows 10_Firefox_fd83dd75
D0393,Desktop,Windows 10,Firefox,9f:5d:b5:0f:d6:f8,Windows 10_Firefox_118ce157
D0394,Laptop,macOS Sonoma,Chrome,40:92:49:0e:a5:82,macOS Sonoma_Chrome_bb51eb8c
D0395,Desktop,Windows 10,Firefox,a3:67:46:15:1d:09,Windows 10_Firefox_fcd45991
D0396,Laptop,macOS Sonoma,Edge,e9:22:ee:2d:b4:ee,macOS Sonoma_Edge_f908437f
D0397,Workstation,Windows 10,Brave,8d:c5:9b:a0:40:99,Windows 10_Brave_1421bcdd
D0398,Workstation,macOS Sonoma,Firefox,f0:bc:04:fc:ba:e6,macOS Sonoma_Firefox_c993d50e
D0399,Workstation,Windows 10,Chrome,a3:61:04:be:c3:b9,Windows 10_Chrome_0303bfaa
D0400,Desktop,macOS Sonoma,Chrome,68:40:0b:df:1c:d5,macOS Sonoma_Chrome_5b2b675b
D0401,Laptop,Ubuntu 22.04,Chrome,ef:52:68:51:6d:65,Ubuntu 22.04_Chrome_38c26c2b
D0402,Workstation,macOS Sonoma,Firefox,c5:ef:c3:2c:57:97,macOS Sonoma_Firefox_ca8d7a34
D0403,Workstation,Windows 11,Firefox,c2:b4:fe:dc:62:a0,Windows 11_Firefox_14e741f2
D0404,Laptop,macOS Sonoma,Firefox,69:f0:06:50:4e:5c,macOS Sonoma_Firefox_e8e23db6
D0405,Workstation,Ubuntu 22.04,Firefox,22:0d:c6:94:ba:db,Ubuntu 22.04_Firefox_2ad26d90
D0406,Laptop,macOS Sonoma,Edge,e1:69:8b:e6:96:fb,macOS Sonoma_Edge_2da16d95
D0407,Laptop,Ubuntu 22.04,Brave,1c:0c:ea:4a:31:ce,Ubuntu 22.04_Brave_926e3801
D0408,Laptop,Windows 10,Firefox,c1:d4:f3:1e:da:d8,Windows 10_Firefox_5bc9869b
D0409,Workstation,Ubuntu 22.04,Firefox,ee:f4:be:50:56:22,Ubuntu 22.04_Firefox_6654fb1e
D0410,Laptop,macOS Sonoma,Edge,e6:36:17:1b:12:35,macOS Sonoma_Edge_de10f94e
D0411,Desktop,Windows 10,Firefox,49:0b:45:57:60:dc,Windows 10_Firefox_f76e52a5
D0412,Laptop,Ubuntu 22.04,Edge,17:9d:6b:07:08:ea,Ubuntu 22.04_Edge_fa5e1665
D0413,Desktop,Windows 11,Edge,78:b4:ce:f6:d3:43,Windows 11_Edge_3bacbecf
D0414,Desktop,Ubuntu 22.04,Chrome,41:8e:a3:7f:12:4f,Ubuntu 22.04_Chrome_31a74b8d
D0415,Workstation,Windows 10,Brave,01:0e:10:1b:3d:59,Windows 10_Brave_df509422
D0416,Laptop,Windows 11,Brave,11:6f:ef:99:f8:db,Windows 11_Brave_a068c388
D0417,Laptop,Windows 10,Chrome,d2:66:13:e9:0e:8b,Windows 10_Chrome_b950b3ef
D0418,Workstation,Ubuntu 22.04,Edge,f8:47:5c:c9:26:dc,Ubuntu 22.04_Edge_19180687
D0419,Workstation,Windows 11,Firefox,b6:8d:81:73:ac:c4,Windows 11_Firefox_535d6aa1
D0420,Laptop,Windows 11,Chrome,e0:32:da:a2:de:93,Windows 11_Chrome_09aad988
D0421,Laptop,Windows 11,Edge,96:64:2b:25:3a:58,Windows 11_Edge_48089f1e
D0422,Laptop,Windows 11,Firefox,3b:c0:d3:ee:99:f5,Windows 11_Firefox_28e3d2a1
D0423,Desktop,Windows 10,Brave,3a:98:5c:97:e6:38,Windows 10_Brave_6e07df25
D0424,Workstation,Ubuntu 22.04,Brave,7f:de:4e:43:67:83,Ubuntu 22.04_Brave_02284522
D0425,Workstation,Windows 11,Brave,b7:ff:08:66:16:68,Windows 11_Brave_f824d362
D0426,Workstation,Windows 11,Brave,c6:54:20:79:ef:88,Windows 11_Brave_565daaf1
D0427,Laptop,macOS Sonoma,Firefox,0b:a3:0e:30:9f:97,macOS Sonoma_Firefox_e5e57b0a
D0428,Workstation,macOS Sonoma,Firefox,5e:e2:9a:34:20:78,macOS Sonoma_Firefox_3648c73f
D0429,Laptop,Windows 11,Brave,a9:83:eb:8b:89:86,Windows 11_Brave_46739d68
D0430,Workstation,macOS Sonoma,Firefox,3e:a8:19:c6:a3:03,macOS Sonoma_Firefox_4cdb5dc0
D0431,Laptop,macOS Sonoma,Chrome,d9:9b:4d:5e:ed:68,macOS Sonoma_Chrome_04f057cb
D0432,Desktop,Windows 11,Chrome,1c:6d:76:83:5d:10,Windows 11_Chrome_dcc29d62
D0433,Desktop,Windows 11,Firefox,18:21:91:0e:e0:89,Windows 11_Firefox_4936a7a0
D0434,Laptop,Ubuntu 22.04,Firefox,26:b1:d0:69:b7:2d,Ubuntu 22.04_Firefox_f18e328e
D0435,Desktop,Ubuntu 22.04,Chrome,3b:63:59:35:cd:56,Ubuntu 22.04_Chrome_fef9d925
D0436,Laptop,Ubuntu 22.04,Edge,b0:ca:21:a1:f2:db,Ubuntu 22.04_Edge_89b8ff80
D0437,Laptop,Windows 11,Brave,03:49:a7:6d:26:56,Windows 11_Brave_4d9eae2e
D0438,Laptop,macOS Sonoma,Brave,52:6e:14:19:4e:b5,macOS Sonoma_Brave_b47a213d
D0439,Laptop,Windows 11,Chrome,ba:1e:3f:e1:de:44,Windows 11_Chrome_88fb1e09
D0440,Desktop,Windows 10,Edge,be:8d:27:24:81:27,Windows 10_Edge_c569867f
D0441,Laptop,Ubuntu 22.04,Chrome,72:fe:00:35:13:a7,Ubuntu 22.04_Chrome_5cc18e56
D0442,Workstation,Windows 10,Chrome,dc:91:f8:99:b6:fe,Windows 10_Chrome_ba1ad635
D0443,Laptop,Ubuntu 22.04,Firefox,50:57:cb:4d:62:23,Ubuntu 22.04_Firefox_06ff6bc2
D0444,Workstation,macOS Sonoma,Edge,cc:33:dd:a8:32:fd,macOS Sonoma_Edge_05779f09
D0445,Desktop,Windows 11,Edge,e5:22:ec:ad:e1:19,Windows 11_Edge_0ff7f165
D0446,Laptop,Windows 11,Brave,49:ec:05:98:78:7c,Windows 11_Brave_4b8c5c93
D0447,Workstation,macOS Sonoma,Edge,27:e3:3b:49:6c:28,macOS Sonoma_Edge_10f07a02
D0448,Workstation,Windows 11,Firefox,3b:a2:26:9a:83:da,Windows 11_Firefox_173b1278
D0449,Laptop,Windows 11,Edge,9d:b2:ef:bd:ca:10,Windows 11_Edge_7b678dab
D0450,Laptop,macOS Sonoma,Chrome,e8:d2:3b:14:f8:1b,macOS Sonoma_Chrome_a63afd0b
D0451,Desktop,Windows 10,Brave,fe:eb:71:e9:7d:b6,Windows 10_Brave_218db6bb
D0452,Laptop,Windows 10,Edge,9f:8d:d2:6d:c4:fd,Windows 10_Edge_a4f7b3fe
D0453,Desktop,Windows 10,Firefox,e1:72:8e:1d:0d:a0,Windows 10_Firefox_52fe1535
D0454,Desktop,macOS Sonoma,Brave,3e:f3:95:93:1b:92,macOS Sonoma_Brave_acaccc0f
D0455,Workstation,Windows 11,Chrome,79:00:80:10:96:68,Windows 11_Chrome_a6db530f
D0456,Laptop,macOS Sonoma,Firefox,84:21:5e:80:ad:86,macOS Sonoma_Firefox_fd8d79e9
D0457,Workstation,Windows 10,Firefox,5c:9c:f7:e0:9e:de,Windows 10_Firefox_fa9f5256
D0458,Desktop,Windows 10,Brave,57:8f:80:9b:a8:72,Windows 10_Brave_95eb1ae4
D0459,Desktop,Windows 10,Chrome,65:24:7f:cd:88:13,Windows 10_Chrome_3e45c898
D0460,Desktop,Ubuntu 22.04,Brave,e0:2f:e7:26:d6:e0,Ubuntu 22.04_Brave_94708356
D0461,Desktop,Windows 11,Firefox,7d:05:8d:61:10:2d,Windows 11_Firefox_7cc38085
D0462,Desktop,Windows 11,Firefox,72:6f:33:64:89:44,Windows 11_Firefox_13c4d14c
D0463,Desktop,Windows 11,Brave,0a:69:e8:32:6e:34,Windows 11_Brave_ce1c23a6
D0464,Laptop,Ubuntu 22.04,Brave,9e:43:cd:60:b3:5f,Ubuntu 22.04_Brave_24eb6fb9
D0465,Laptop,Windows 11,Edge,55:20:38:82:90:2b,Windows 11_Edge_861eaddf
D0466,Workstation,Ubuntu 22.04,Edge,ef:e1:d3:9d:5b:f0,Ubuntu 22.04_Edge_8a4b0377
D0467,Desktop,Windows 10,Brave,cc:d8:22:e6:7c:88,Windows 10_Brave_6b11fee2
D0468,Laptop,Ubuntu 22.04,Brave,03:bc:db:08:3e:66,Ubuntu 22.04_Brave_9d2bc2b1
D0469,Desktop,macOS Sonoma,Chrome,13:f6:d7:af:52:ee,macOS Sonoma_Chrome_41275bd1
D0470,Desktop,macOS Sonoma,Edge,a9:85:59:2d:c8:46,macOS Sonoma_Edge_9c4dbbf8
D0471,Workstation,Ubuntu 22.04,Brave,06:8a:e5:20:4c:52,Ubuntu 22.04_Brave_ff4a496f
D0472,Desktop,macOS Sonoma,Edge,e8:f8:6f:be:48:b4,macOS Sonoma_Edge_719094f8
D0473,Desktop,Ubuntu 22.04,Brave,63:bf:dd:b8:a9:24,Ubuntu 22.04_Brave_d031a3cc
D0474,Desktop,Windows 10,Brave,08:38:19:0c:4b:b1,Windows 10_Brave_63e00f39
D0475,Workstation,Windows 11,Firefox,df:88:39:34:95:d4,Windows 11_Firefox_87fc3cb0
D0476,Desktop,Windows 11,Chrome,9d:c0:90:28:87:6c,Windows 11_Chrome_0b6a4d10
D0477,Laptop,Windows 11,Edge,39:70:b7:01:1e:3a,Windows 11_Edge_542d5f60
D0478,Workstation,Windows 11,Firefox,6b:35:cd:68:40:32,Windows 11_Firefox_b76ccccb
D0479,Workstation,Ubuntu 22.04,Brave,7b:dd:9d:ca:5c:e8,Ubuntu 22.04_Brave_3d170f55
D0480,Laptop,macOS Sonoma,Brave,51:9c:d8:c6:a2:eb,macOS Sonoma_Brave_65cac93c
D0481,Desktop,macOS Sonoma,Edge,81:ec:7e:64:7d:09,macOS Sonoma_Edge_a6a82f2e
D0482,Desktop,Windows 10,Chrome,e5:36:13:06:3b:84,Windows 10_Chrome_caf6d2a4
D0483,Laptop,macOS Sonoma,Brave,e7:78:90:1d:aa:79,macOS Sonoma_Brave_2a2b4170
D0484,Laptop,macOS Sonoma,Chrome,b2:78:8a:e9:45:d8,macOS Sonoma_Chrome_fc859756
D0485,Desktop,macOS Sonoma,Edge,b3:4e:7a:c6:96:89,macOS Sonoma_Edge_c2424ca5
D0486,Laptop,macOS Sonoma,Edge,1c:aa:fe:89:94:24,macOS Sonoma_Edge_7f4d9115
D0487,Workstation,Ubuntu 22.04,Brave,ba:f6:c9:38:28:e5,Ubuntu 22.04_Brave_48da583d
D0488,Laptop,Windows 11,Firefox,b6:4f:8c:5a:0b:fe,Windows 11_Firefox_229b1569
D0489,Laptop,Ubuntu 22.04,Chrome,60:06:de:65:45:24,Ubuntu 22.04_Chrome_0cdfaf97
D0490,Workstation,Windows 10,Brave,04:80:f6:26:da:12,Windows 10_Brave_c6608a60
D0491,Desktop,Ubuntu 22.04,Edge,fa:26:36:fb:3d:7e,Ubuntu 22.04_Edge_d6cc76aa
D0492,Laptop,Windows 10,Chrome,78:75:e7:55:25:46,Windows 10_Chrome_525d160b
D0493,Laptop,Windows 10,Chrome,0a:f2:e1:18:67:61,Windows 10_Chrome_d80d42e9
D0494,Desktop,Ubuntu 22.04,Brave,cb:d0:46:ad:78:7d,Ubuntu 22.04_Brave_0821c266
D0495,Workstation,Windows 11,Edge,fc:70:a5:04:f5:4c,Windows 11_Edge_dd044c4b
D0496,Workstation,Ubuntu 22.04,Edge,61:81:a1:13:9f:4d,Ubuntu 22.04_Edge_6326ed32
D0497,Laptop,macOS Sonoma,Brave,a4:ce:4d:74:56:26,macOS Sonoma_Brave_0ccee34c
D0498,Laptop,Windows 11,Edge,cd:65:fb:59:17:f9,Windows 11_Edge_cc462f40
